FID,the_geom,FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,STATE,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,EURO_MMBO,EURG_TCFG,EURC_MMBO,HL10_MMBOE,HL20_MMBOE,HL50_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_NAME,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,AGE_CODE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE,TRAP_DESC,REFERENCES,COMMENTS
giant_oil_and_gas_fields_of_the_world_co_yxz.1,POINT (-92 26),995,Julia,,A,NORTH AMERICA,United States,USA - Gulf of Mexico Deepwater,26,-92,C,Offshore,2007,Oil,Giant,1000,1000,1000,-99999.99,-99999.99,1000,1000,1000,5097,Gulf Cenozoic OCS,BS000000271,WEST GULF COAST TERTIARY,TYPE 1,,UNKNOWN,,Unknown,,,,,-99999.99,-99999.99,Unknown,,,1203,
giant_oil_and_gas_fields_of_the_world_co_yxz.2,POINT (11.86126 -8.828139),996,Pazflor,,F,AFRICA,Angola,,-8.828139,11.86126,C,Offshore,2008,Oil,Giant,590,590,590,-99999.99,-99999.99,590,590,590,7203,West-central Coastal,BS000000048,KWANZA,TYPE 1,,UNKNOWN,,Unknown,,,,,-99999.99,-99999.99,Unknown,,,,
giant_oil_and_gas_fields_of_the_world_co_yxz.3,POINT (47.266667 31.1),1,West Qurna,,E,MIDDLE EAST,Iraq,,31.1,47.266667,B,Onshore,1973,Oil,Supergiant,11374.167,4204.653,9800,9.445,-99999.99,1327.164,3885.279,7401.515,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,,CARBONATE,marly limestones,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,12139,3.7,Structural,Anticline,Anticlinal shoals,"3, 38, 73, 74, 75, 883, 949",
giant_oil_and_gas_fields_of_the_world_co_yxz.4,POINT (72.1 19.166667),2,Bassein,,G,ASIA AND OCEANIA,India,,19.166667,72.1,B,Offshore,1977,Gas,Giant,1362.613,560.556,-99999.99,6.981,199,209.78,534.649,937.24,8043,Bombay,BS000000028,MUMBAI - SAURASHTRA,TYPE 2,,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,6000,1.83,Structural,Anticline,,"2, 3, 290, 291",
giant_oil_and_gas_fields_of_the_world_co_yxz.5,POINT (49.87899 30.99227),3,Karanj,,E,MIDDLE EAST,Iran,,30.99227,49.87899,B,Onshore,1963,Gas,Supergiant,6513.94,1881.263,5731.5,4.695,-99999.99,380.087,1573.488,3690.214,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,5492,1.67,Structural,Anticline,,"1, 2, 3, 38, 653, 646, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.6,POINT (49.861275 30.389358),4,Rag-E-Safid,,E,MIDDLE EAST,Iran,,30.389358,49.861275,A,Onshore,1964,Gas,Supergiant,14980.602,4429.4,4995.5,59.911,-99999.99,936.839,3746.253,8605.109,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,4400,1.34,Structural,Anticline,,"1, 2, 3, 62, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.7,POINT (50.01747 30.56692),5,Pazanan,,E,MIDDLE EAST,Iran,,30.56692,50.01747,B,Onshore,1936,Gas,Supergiant,6657.933,1095.06,1854.6,28.82,-99999.99,59.809,631.037,2594.332,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,dolomitic limestone,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,4701,1.43,Structural,Anticline,,"1, 2, 3, 661, `094",
giant_oil_and_gas_fields_of_the_world_co_yxz.8,POINT (44.916667 34.083333),6,Mansuriyah,,E,MIDDLE EAST,Iraq,,34.083333,44.916667,B,Onshore,1978,Gas,Giant,600,253.726,50,3.3,-99999.99,99.001,243.722,418.455,2024,Mesopotamian Foredeep Basin,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,4003,1.22,Structural,Anticline,,"3, 77, 686, 883",
giant_oil_and_gas_fields_of_the_world_co_yxz.9,POINT (51.5 35),7,Saradjeh,Serajeh,E,MIDDLE EAST,Iran,,35,51.5,B,Onshore,1958,Gas,Giant,833.333,214.715,-99999.99,5,-99999.99,34.385,169.277,440.484,2091,Central Iranian Basins,BS000000018,CENTRAL IRAN - KAVIR,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,12180,3.71,Structural,Anticline,,"1, 2, 65, 993",
giant_oil_and_gas_fields_of_the_world_co_yxz.10,POINT (49.933333 31),8,Paris,Faris,E,MIDDLE EAST,Iran,,31,49.933333,B,Onshore,1964,Gas,Giant,3825,1130.96,3000,4.95,-99999.99,239.203,956.532,2197.144,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,5000,1.52,Structural,Anticline,,"1, 2",
giant_oil_and_gas_fields_of_the_world_co_yxz.11,POINT (0.4 42.583333),9,Serrablo,,C,WESTERN EUROPE,Spain,,42.583333,0.4,B,Onshore,1979,Gas,Giant,583.333,253.658,-99999.99,3.5,-99999.99,103.158,245.307,412.509,4044,Pyrenean Foothills-Ebro Basin,BS000000743,SOUTH PYRENEAN,TYPE 2,,CARBONATE,carbonate turbidite megabreccias,Cenozoic,Paleogene,Eocene,,CZ_PG_EOC,6500,1.98,Structural,Anticline,,"2, 493, 549",Tellus classification based on proximity
giant_oil_and_gas_fields_of_the_world_co_yxz.12,POINT (69.2 28.65),10,Sui,,G,ASIA AND OCEANIA,Pakistan,,28.65,69.2,B,Onshore,1952,Gas,Giant,1872.687,423.62,-99999.99,11.236,-99999.99,50.985,308.996,910.878,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,CZ_PG_EOC,3675,1.12,Structural,Anticline,,"1, 2, 3, 38, 726, 728",
giant_oil_and_gas_fields_of_the_world_co_yxz.13,POINT (68.620833 28.641667),11,Uch,,G,ASIA AND OCEANIA,Pakistan,,28.641667,68.620833,B,Onshore,1955,Gas,Giant,675,162.821,-99999.99,4.05,-99999.99,22.624,123.577,342.261,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,CZ_PG_EOC,3281,1,Structural,Anticline,,"3, 38, 554",
giant_oil_and_gas_fields_of_the_world_co_yxz.14,POINT (62.483333 39.333333),12,Bagadzhin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,,39.333333,62.483333,B,Onshore,1971,Gas,Giant,1583.333,555.876,-99999.99,9.5,-99999.99,160.836,504.636,1002.155,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,10100,3.08,Structural,Anticline,,2,
giant_oil_and_gas_fields_of_the_world_co_yxz.15,POINT (61.051925 40.0247),13,Kirpichlin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,,40.0247,61.051925,A,Onshore,1972,Gas,Giant,1431.667,515.685,-99999.99,8.59,-99999.99,155.866,472.385,918.806,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,9900,3.02,Structural,Anticline,,2,
giant_oil_and_gas_fields_of_the_world_co_yxz.16,POINT (51.5 30.583333),14,Mokhtar,,E,MIDDLE EAST,Iran,,30.583333,51.5,B,Onshore,1992,Gas,Giant,657.5,425.608,-99999.99,3.945,-99999.99,286.244,433.827,556.755,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,5003,1.53,Structural,Anticline,,"3, 4, 38, 62, 875",
giant_oil_and_gas_fields_of_the_world_co_yxz.17,POINT (55.583333 26.7),15,Qishm-Salag,,E,MIDDLE EAST,Iran,,26.7,55.583333,B,Onshore,1961,Gas,Giant,1875,517.003,-99999.99,11.25,-99999.99,95.246,422.595,1033.167,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,10255,3.13,Structural,Anticline,,"2, 662",
giant_oil_and_gas_fields_of_the_world_co_yxz.18,POINT (56.427872 27.339656),16,Sarhun,,E,MIDDLE EAST,Iran,,27.339656,56.427872,A,Onshore,1978,Gas,Giant,1166.667,493.356,-99999.99,7,-99999.99,192.502,473.905,813.663,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,-99999.99,-99999.99,Structural,Anticline,,2,
giant_oil_and_gas_fields_of_the_world_co_yxz.19,POINT (45.9 33.7),17,Tang-i-bijar,,E,MIDDLE EAST,Iran,,33.7,45.9,B,Onshore,1965,Gas,Giant,565,171.072,-99999.99,3.39,-99999.99,37.869,146.273,329.075,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,4000,1.22,Structural,Anticline,,2,
giant_oil_and_gas_fields_of_the_world_co_yxz.20,POINT (-0.71667 43.41667),18,Lacq,,C,WESTERN EUROPE,France,,43.41667,-0.71667,B,Onshore,1951,Gas,Giant,1348.333,298.652,-99999.99,8.09,-99999.99,34.251,214.9,646.805,4044,Pyrenean Foothills-Ebro Basin,BS000000379,AQUITAINE,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,13300,4.05,Structural,Anticline,,"1, 2, 282",
giant_oil_and_gas_fields_of_the_world_co_yxz.21,POINT (-0.5 43.25),19,Mellion-Rousse,,C,WESTERN EUROPE,France,,43.25,-0.5,B,Onshore,1965,Gas,Giant,583.333,176.623,-99999.99,3.5,-99999.99,39.098,151.019,339.753,4044,Pyrenean Foothills-Ebro Basin,BS000000379,AQUITAINE,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,14900,4.54,Structural,Anticline,,"1, 2, 283, 15",
giant_oil_and_gas_fields_of_the_world_co_yxz.22,POINT (-94.395692 32.623319),20,Carthage,Cotton Valley,A,NORTH AMERICA,United States,USA - Texas,32.623319,-94.395692,A,Onshore,1936,Gas,Giant,1050,172.698,-99999.99,6,50,9.432,99.519,409.143,5048,East Texas Basin,BS000000497,EAST TEXAS SALT,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,6000,1.83,Structural,Anticline,,"1, 2, 344, 345, 346",
giant_oil_and_gas_fields_of_the_world_co_yxz.23,POINT (-92 32.5),21,Monroe,,A,NORTH AMERICA,United States,USA - Louisiana,32.5,-92,B,Onshore,1916,Gas,Giant,1203.333,138.37,-99999.99,7.22,-99999.99,2.703,57.034,355.374,5049,Louisiana-Mississippi Salt Basins,BS000000639,NORTH LOUISIANA SALT,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,2200,0.67,Structural,Anticline,,"1, 2, 384, 385",
giant_oil_and_gas_fields_of_the_world_co_yxz.24,POINT (55.432094 25.159061),22,Margham,,E,MIDDLE EAST,UAE,UAE - Dubai,25.159061,55.432094,A,Onshore,1982,Gas,Giant,680.91,322.634,-99999.99,2.681,234,148.24,317.707,501.955,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,10499,3.2,Structural,Anticline,,"3, 38, 861, 628",
giant_oil_and_gas_fields_of_the_world_co_yxz.25,POINT (62.55 40.216667),23,Gugurtlinskoye,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,,40.216667,62.55,B,Onshore,1965,Gas,Giant,666.667,201.855,-99999.99,4,-99999.99,44.683,172.594,388.289,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,3600,1.1,Structural,Anticline,,"1, 2",
giant_oil_and_gas_fields_of_the_world_co_yxz.26,POINT (50.560639 26.06734),24,Awali,Bahrain Field,E,MIDDLE EAST,Bahrain,,26.06734,50.560639,A,Onshore,1932,Gas,Giant,2087.773,318.71,900,6.756,62,14.214,172.268,769.648,2021,Greater Ghawar Uplift,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,1800,0.55,Structural,Anticline,,"1, 2, 3, 38, 97, 179",
giant_oil_and_gas_fields_of_the_world_co_yxz.27,POINT (49.116667 28.95),25,Dorra,,E,MIDDLE EAST,Divided Neutral Zone: Kuwait/Saudi Arabia,,28.95,49.116667,B,Offshore,1967,Gas,Giant,1566.667,497.814,400,7,-99999.99,120.615,434.7,938.127,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,9500,2.9,Structural,Anticline,,"2, 3, 713, 714, 951",
giant_oil_and_gas_fields_of_the_world_co_yxz.28,POINT (53.11667 25.52778),26,Salman,,E,MIDDLE EAST,Iran,,25.52778,53.11667,B,Offshore,1965,Gas,Giant,1638.167,496.009,571.5,6.4,-99999.99,109.797,424.106,954.123,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,dolomite,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,7840,2.39,Structural,Anticline,,"3, 71",
giant_oil_and_gas_fields_of_the_world_co_yxz.29,POINT (49.415481 23.805772),27,Tinat,,E,MIDDLE EAST,Saudi Arabia,,23.805772,49.415481,A,Onshore,1982,Gas,Giant,891.667,422.496,300,3.25,50,194.123,416.045,657.321,2021,Greater Ghawar Uplift,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,5500,1.68,Structural,Anticline,,"3, 548",
giant_oil_and_gas_fields_of_the_world_co_yxz.30,POINT (52.55 25.6),28,Maydan Mahzam,,E,MIDDLE EAST,Qatar,,25.6,52.55,B,Offshore,1963,Gas,Giant,1623.673,468.926,1238,2.314,-99999.99,94.741,392.21,919.828,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,dolomite,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,6870,2.09,Structural,Anticline,,"1, 2, 3, 731, 737, 738, 1145",
giant_oil_and_gas_fields_of_the_world_co_yxz.31,POINT (53.183333 21.583333),29,Suhul,,E,MIDDLE EAST,Saudi Arabia,,21.583333,53.183333,B,Onshore,1977,Gas,Giant,700,287.968,-99999.99,3,200,107.768,274.659,481.478,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,9800,2.99,Structural,Anticline,,"3, 66",
giant_oil_and_gas_fields_of_the_world_co_yxz.32,POINT (60.766667 36.566667),30,Khangiran,,E,MIDDLE EAST,Iran,,36.566667,60.766667,A,Onshore,1968,Gas,Giant,2042.467,665.113,-99999.99,12.255,-99999.99,168.53,586.7,1240.108,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,8737,2.66,Structural,Anticline,,"3, 654",
giant_oil_and_gas_fields_of_the_world_co_yxz.33,POINT (52.7 25.43333),31,Bul Hanine,,E,MIDDLE EAST,Qatar,,25.43333,52.7,B,Offshore,1965,Gas,Giant,2643.963,800.547,1865,4.674,-99999.99,177.21,684.497,1539.933,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,shelly limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,7400,2.26,Structural,Anticline,,"2, 3, 731, 732, 1145",
giant_oil_and_gas_fields_of_the_world_co_yxz.34,POINT (67.033333 38.966667),32,Shurtan,Uzbekistan,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,,38.966667,67.033333,B,Onshore,1974,Gas,Giant,2545.71,966.096,-99999.99,15.274,-99999.99,318.354,900.243,1679.691,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,coral limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,9515,2.9,Structural,Anticline,,"2, 3, 38",
giant_oil_and_gas_fields_of_the_world_co_yxz.35,POINT (53.14973 25.49461),33,Abu Al Bukhoosh,Abu Koosh,E,MIDDLE EAST,UAE,UAE - Abu Dhabi,25.49461,53.14973,B,Offshore,1969,Gas,Giant,1027.47,342.986,197,4.983,-99999.99,90.863,305.547,632.547,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,7850,2.39,Structural,Anticline,,"3, 72",
giant_oil_and_gas_fields_of_the_world_co_yxz.36,POINT (64.509667 39.139639),34,Dengizkul-Khauzak-Shady,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,,39.139639,64.509667,A,Onshore,1966,Gas,Giant,597.342,185.258,-99999.99,3.499,14,42.909,160.099,352.768,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,limestone,Mesozoic,Jurassic,Upper Jurassic,,MZ_JR_U,7598,2.32,Structural,Anticline,,"2, 3",
giant_oil_and_gas_fields_of_the_world_co_yxz.37,POINT (52.55 24.916667),35,Satah,,E,MIDDLE EAST,UAE,UAE - Abu Dhabi,24.916667,52.55,B,Offshore,1975,Gas,Giant,761.667,296.834,200,3.37,-99999.99,102.085,278.846,509.571,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,MZ_JR_L,12000,3.66,Structural,Anticline,,"2, 784, 865",
giant_oil_and_gas_fields_of_the_world_co_yxz.38,POINT (64.320936 39.067683),36,Samantepe,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,,39.067683,64.320936,A,Onshore,1964,Gas,Giant,583.333,172.478,-99999.99,3.5,-99999.99,36.48,145.876,335.076,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,MZ_JR_L,7700,2.35,Structural,Anticline,,"1, 2",
giant_oil_and_gas_fields_of_the_world_co_yxz.39,POINT (64.517072 38.998667),37,Urtabalak,,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,,38.998667,64.517072,A,Onshore,1963,Gas,Giant,598.333,172.802,-99999.99,3.59,-99999.99,34.913,144.532,338.962,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,MZ_JR_L,8200,2.5,Structural,Anticline,,"1, 2, 38",
giant_oil_and_gas_fields_of_the_world_co_yxz.40,POINT (68.766667 39.75),38,Beurdeshik,Buyerdeshik,D,EASTERN EUROPE AND FORMER USSR,Tajikistan,,39.75,68.766667,B,Onshore,1969,Gas,Giant,500,166.908,-99999.99,3,-99999.99,44.217,148.689,307.818,1158,Tian Shan Foldbelt,BS000000069,FERGANA,TYPE 2,,CARBONATE,,Mesozoic,Jurassic,Lower Jurassic,,MZ_JR_L,4920,1.5,Structural,Anticline,,"1, 2, 826",Tellus classification based on proximity
giant_oil_and_gas_fields_of_the_world_co_yxz.41,POINT (52.584689 27.522772),39,Assaluyeh,,E,MIDDLE EAST,Iran,,27.522772,52.584689,A,Onshore,1988,Gas,Giant,666.667,378.995,-99999.99,4,-99999.99,219.97,382.945,534.072,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,MZ_TR_U,7218,2.2,Structural,Anticline,,"3, 551",
giant_oil_and_gas_fields_of_the_world_co_yxz.42,POINT (53.219256 27.701908),40,Shanul,,E,MIDDLE EAST,Iran,,27.701908,53.219256,A,Onshore,1995,Gas,Giant,1058.333,758.746,-99999.99,5.9,75,567.222,774.797,934.219,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,MZ_TR_U,9843,3,Structural,Anticline,,"3, 4, 38, 665, 875",
giant_oil_and_gas_fields_of_the_world_co_yxz.43,POINT (105.839039 29.191781),41,Huangkuanshan,,G,ASIA AND OCEANIA,China,,29.191781,105.839039,A,Onshore,1955,Gas,Giant,833.333,201.013,-99999.99,5,-99999.99,27.931,152.564,422.544,3142,Sichuan Basin,BS000000244,SICHUAN,TYPE 3,,CARBONATE,,Mesozoic,Triassic,Upper Triassic,,MZ_TR_U,3000,0.91,Structural,Anticline,,"2, 225",
giant_oil_and_gas_fields_of_the_world_co_yxz.44,POINT (52.807297 28.584819),42,Aghar,,E,MIDDLE EAST,Iran,,28.584819,52.807297,A,Onshore,1974,Gas,Giant,1493.167,566.656,-99999.99,8.5,77,186.728,528.031,985.21,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,dolomitic limestone,Mesozoic,Triassic,Upper Triassic,,MZ_TR_U,7500,2.29,Structural,Anticline,,"2, 3, 38, 644",
giant_oil_and_gas_fields_of_the_world_co_yxz.45,POINT (51.240033 28.392267),43,Kuh-I-Mund,,E,MIDDLE EAST,Iran,,28.392267,51.240033,B,Onshore,1974,Gas,Giant,2013.333,764.059,330,10.1,-99999.99,251.778,711.978,1328.422,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,limestone,Mesozoic,Triassic,Upper Triassic,,MZ_TR_U,11788,3.59,Structural,Anticline,,3,
giant_oil_and_gas_fields_of_the_world_co_yxz.46,POINT (52.3 27.783333),44,Nar,,E,MIDDLE EAST,Iran,,27.783333,52.3,B,Onshore,1975,Gas,Giant,2333.333,909.338,-99999.99,14,-99999.99,312.734,854.232,1561.049,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Triassic,Middle Triassic,,MZ_TR_M,6900,2.1,Structural,Anticline,,"2, 70",
giant_oil_and_gas_fields_of_the_world_co_yxz.47,POINT (46.728028 33.422461),45,Kabir Kuh,,E,MIDDLE EAST,Iran,,33.422461,46.728028,B,Onshore,1973,Gas,Giant,933.333,345.022,-99999.99,5.6,-99999.99,108.904,318.815,607.348,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,limestone,Paleozoic,Permian,Lopingian,,PZ_PR_LOP,7720,2.35,Structural,Anticline,,"3, 550",
giant_oil_and_gas_fields_of_the_world_co_yxz.48,POINT (57.271992 63.584164),46,Vuktyl,,D,EASTERN EUROPE AND FORMER USSR,Russia,,63.584164,57.271992,A,Onshore,1964,Gas,Giant,742.933,219.667,27.7,3.311,163,46.461,185.788,426.753,1008,Timan-Pechora Basin,BS000000772,TIMAN - PECHORA,TYPE 2,,CARBONATE,limestone,Paleozoic,Permian,Guadalupian,,PZ_PR_GUA,6890,2.1,Structural,Anticline,,"1, 2, 3, 38, 121",
giant_oil_and_gas_fields_of_the_world_co_yxz.49,POINT (55.083333 67.6),47,Layavozh,,D,EASTERN EUROPE AND FORMER USSR,Russia,,67.6,55.083333,B,Onshore,1969,Gas,Giant,857.258,286.167,61.7,4.437,56,75.811,254.93,527.759,1008,Timan-Pechora Basin,BS000000772,TIMAN - PECHORA,TYPE 2,,CARBONATE,limestone,Paleozoic,Permian,Cisuralian,,PZ_PR_CIS,7293,2.22,Structural,Anticline,,"1, 2, 3, 748, 958",
giant_oil_and_gas_fields_of_the_world_co_yxz.50,POINT (56.666075 57.19465),48,Mazunin,,D,EASTERN EUROPE AND FORMER USSR,Russia,,57.19465,56.666075,A,Onshore,1960,Gas,Giant,2250,606.407,-99999.99,13.5,-99999.99,106.643,489.843,1222.735,1015,Volga-Ural Region,BS000000801,VOLGA - URALS,TYPE 2,,CARBONATE,,Paleozoic,Carboniferous,Mississippian,,PZ_CB_MS,5000,1.52,Structural,Anticline,,2,
giant_oil_and_gas_fields_of_the_world_co_yxz.51,POINT (83.927964 38.807717),49,Tazhong,,G,ASIA AND OCEANIA,China,,38.807717,83.927964,A,Onshore,1989,Gas,Giant,770,451.884,135,3,135,272.296,457.895,625.462,3154,Tarim Basin,BS000000078,TARIM,TYPE 2,,CARBONATE,sandy dolomite,Paleozoic,Carboniferous,Mississippian,,PZ_CB_MS,11699,3.57,Structural,Anticline,,"3, 229, 251",
giant_oil_and_gas_fields_of_the_world_co_yxz.52,POINT (-102.5 30.666667),50,Puckett,,A,NORTH AMERICA,United States,USA - Texas,30.666667,-102.5,A,Onshore,1952,Gas,Giant,500,113.105,-99999.99,3,-99999.99,13.613,82.501,243.201,5044,Permian Basin,BS000000609,MIDLAND - PERMIAN,TYPE 2,,CARBONATE,dolomite,Paleozoic,Ordovician,Upper Ordovician,,PZ_OR_U,13370,4.08,Structural,Anticline,,"1, 2, 418",
giant_oil_and_gas_fields_of_the_world_co_yxz.53,POINT (47.65 32),51,Jabal Fauqui,Fakkeh,E,MIDDLE EAST,Iraq,,32,47.65,B,Onshore,1974,Oil,Giant,1000,379.5,1000,-99999.99,-99999.99,125.055,353.631,659.812,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,10000,3.05,Structural,Anticline,,"2, 38, 66, 883",
giant_oil_and_gas_fields_of_the_world_co_yxz.54,POINT (47.233333 32.266667),52,Buzurgan,,E,MIDDLE EAST,Iraq,,32.266667,47.233333,B,Onshore,1970,Oil,Giant,1980,677.735,1800,1.08,-99999.99,187.664,609.569,1235.971,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,10000,3.05,Structural,Anticline,,"2, 38, 647, 949",
giant_oil_and_gas_fields_of_the_world_co_yxz.55,POINT (49.97303 30.99952),53,Parsi,,E,MIDDLE EAST,Iran,,30.99952,49.97303,B,Onshore,1964,Oil,Supergiant,5333.083,1576.863,3812,9.126,-99999.99,333.514,1333.663,3063.413,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,2750,0.84,Structural,Anticline,,"3, 661, 1094",
