FID,the_geom,FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,STATE,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,EURO_MMBO,EURG_TCFG,EURC_MMBO,HL10_MMBOE,HL20_MMBOE,HL50_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_NAME,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,AGE_CODE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE,TRAP_DESC,REFERENCES,COMMENTS
giant_oil_and_gas_fields_of_the_world_co_yxz.259,POINT (54.889408 28.664936),257,Dalan,,E,MIDDLE EAST,Iran,,28.664936,54.889408,A,Onshore,1978,Gas,Giant,500,211.438,-99999.99,3,-99999.99,82.501,203.102,348.713,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Triassic,Lower Triassic,,MZ_TR_L,-99999.99,-99999.99,Structural,,,"38, 70, 71, 629",
giant_oil_and_gas_fields_of_the_world_co_yxz.260,POINT (53.138486 27.280894),258,Tabnak,,E,MIDDLE EAST,Iran,,27.280894,53.138486,B,Onshore,1999,Gas,Giant,4026.333,3329.956,-99999.99,21.8,393,2847.257,3385.854,3756.757,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,oolitic limestone,Mesozoic,Triassic,Lower Triassic,,MZ_TR_L,9042,2.76,Structural,,,"4, 38, 71, 649, 875",
giant_oil_and_gas_fields_of_the_world_co_yxz.261,POINT (51.766667 26.566667),259,Northwest Dome,,E,MIDDLE EAST,Qatar,,26.566667,51.766667,B,Offshore,1976,Gas,Supergiant,13333.333,5337.83,-99999.99,80,-99999.99,1915.286,5053.43,9044.774,2022,Qatar Arch,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,,Paleozoic,Permian,Guadalupian,,PZ_PR_GUA,-99999.99,-99999.99,Structural,,,"2, 106",
giant_oil_and_gas_fields_of_the_world_co_yxz.262,POINT (52.037608 27.899106),260,Kangan,,E,MIDDLE EAST,Iran,,27.899106,52.037608,A,Onshore,1972,Gas,Supergiant,8333.333,3001.662,-99999.99,50,-99999.99,907.251,2749.622,5348.112,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,dolomite,Paleozoic,Permian,Guadalupian,,PZ_PR_GUA,-99999.99,-99999.99,Structural,,,"2, 38, 644, 1068",
giant_oil_and_gas_fields_of_the_world_co_yxz.263,POINT (53.826894 68.165092),261,Kumzha,,D,EASTERN EUROPE AND FORMER USSR,Russia,,68.165092,53.826894,A,Onshore,1975,Gas,Giant,566.177,220.648,-99999.99,3.228,28,75.884,207.277,378.784,1008,Timan-Pechora Basin,BS000000772,TIMAN - PECHORA,TYPE 2,,CARBONATE,limestone,Paleozoic,Carboniferous,Pennsylvanian,,PZ_CB_PN,7448,2.27,Structural,,,"3, 118",
giant_oil_and_gas_fields_of_the_world_co_yxz.264,POINT (46.95 32.616667),262,Dehluran,,E,MIDDLE EAST,Iran,,32.616667,46.95,B,Onshore,1980,Oil,Giant,500,223.652,500,-99999.99,-99999.99,94.766,217.676,358.514,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,-99999.99,-99999.99,Structural,,,"38, 67, 68",
giant_oil_and_gas_fields_of_the_world_co_yxz.265,POINT (51.280002 29.27),263,Khesht,,E,MIDDLE EAST,Iran,,29.27,51.280002,B,Onshore,1994,Oil,Giant,780,540.23,780,-99999.99,-99999.99,390.057,551.584,679.049,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,4921,1.5,Structural,,,"3, 4, 655, 875, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.266,POINT (18.009244 29.373156),264,Dahra East-Hofra,,F,AFRICA,Libya,,29.373156,18.009244,A,Onshore,1958,Oil,Giant,621,160.006,621,-99999.99,-99999.99,25.624,126.145,328.249,2043,Sirte Basin,BS000000014,SIRTE,TYPE 1,,CARBONATE,carbonates,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,-99999.99,-99999.99,Structural,,,"1, 2, 3, 38, 476, 484",
giant_oil_and_gas_fields_of_the_world_co_yxz.267,POINT (48.966667 32.2),265,Zeloi,,E,MIDDLE EAST,Iran,,32.2,48.966667,B,Onshore,1976,Oil,Giant,500,200.169,500,-99999.99,-99999.99,71.823,189.504,339.179,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,-99999.99,-99999.99,Structural,,,"38, 66",
giant_oil_and_gas_fields_of_the_world_co_yxz.268,POINT (46.683333 30.8),266,Subba,,E,MIDDLE EAST,Iraq,,30.8,46.683333,B,Onshore,1989,Oil,Giant,2383.333,1398.69,2200,1.1,-99999.99,842.822,1417.295,1935.954,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,MZ_CT_U,-99999.99,-99999.99,Structural,,,"38, 76, 949",
